time,AMZN,CCL,DPZ,DRI,EAT,GRUB,MCD,NFLX,SBUX,UAL,UBER,WEN,WMT,YUM
2018-08-07 00:00:00-04:00,1862.7,58.69,277.52,109.95,44.51,128.67,156.05,351.83,52.06,82.32,,17.02,89.78,81.32
2018-08-08 00:00:00-04:00,1886.52,58.59,286.97,109.88,44.85,127.88,158.9,347.59,51.55,82.79,,17.26,90.05,81.92
2018-08-09 00:00:00-04:00,1898.13,59.34,291.41,109.42,45.18,130.49,159.24,349.37,51.91,82.75,,17.76,89.02,82.72
2018-08-10 00:00:00-04:00,1886.0,59.6,291.35,109.48,44.185,130.42,158.68,345.79,51.51,81.72,,17.65,90.19,82.93
2018-08-13 00:00:00-04:00,1895.65,58.99,288.62,109.33,43.82,129.92,158.13,341.32,51.82,81.2,,17.355,89.65,82.38
2018-08-14 00:00:00-04:00,1919.86,59.32,287.52,111.16,43.16,128.97,160.63,337.48,52.6,81.44,,17.85,90.847,83.09
2018-08-15 00:00:00-04:00,1882.37,59.21,284.22,112.34,43.14,127.35,159.88,326.44,52.75,81.86,,17.87,90.25,82.89
2018-08-16 00:00:00-04:00,1887.47,59.84,287.72,112.88,43.4,128.59,161.74,322.44,53.05,81.9,,18.3,98.64,84.21
2018-08-17 00:00:00-04:00,1882.22,60.59,285.06,113.84,44.0,127.4,161.15,316.78,53.57,82.0,,18.42,97.85,83.81
2018-08-20 00:00:00-04:00,1877.24,60.75,284.77,114.35,45.08,132.2911,161.67,327.75,53.93,85.22,,18.43,96.0,84.11
2018-08-21 00:00:00-04:00,1883.64,61.45,287.35,113.99,45.08,133.11,161.03,338.04,54.0,85.62,,18.18,96.08,84.32
2018-08-22 00:00:00-04:00,1905.45,61.89,291.51,113.76,43.86,135.34,160.54,344.44,52.82,84.52,,18.0,95.67,83.82
2018-08-23 00:00:00-04:00,1902.8,61.01,289.43,114.3,43.81,137.93,159.06,339.15,52.65,84.74,,17.96,95.19,83.53
2018-08-24 00:00:00-04:00,1905.43,61.24,297.99,114.33,43.89,138.47,159.39,358.84,52.74,85.14,,17.8,94.95,84.15
2018-08-27 00:00:00-04:00,1927.62,61.69,297.91,113.87,42.95,139.86,160.47,364.59,52.96,85.93,,17.76,94.51,84.5
2018-08-28 00:00:00-04:00,1933.0,61.75,299.43,114.99,43.54,140.48,161.63,368.48,53.06,86.815,,17.81,96.12,85.37
2018-08-29 00:00:00-04:00,1998.38,62.3,300.64,114.89,43.48,143.0,163.12,368.14,53.24,87.11,,17.76,95.65,86.0
2018-08-30 00:00:00-04:00,2002.22,61.58,300.63,115.62,43.35,142.61,162.79,371.08,53.1,86.92,,17.7,96.11,85.7
2018-08-31 00:00:00-04:00,2013.83,61.49,298.52,116.03,44.28,144.09,162.2,367.73,53.44,87.42,,17.64,95.84,86.88
2018-09-04 00:00:00-04:00,2039.58,61.2,296.53,117.27,43.64,144.0,161.7,363.49,53.53,88.29,,17.49,95.37,87.02
2018-09-05 00:00:00-04:00,1995.0,60.96,289.77,118.87,43.75,137.63,163.24,341.19,53.8,88.21,,17.49,96.6,86.73
2018-09-06 00:00:00-04:00,1958.365,61.74,290.53,118.81,45.85,137.78,163.75,346.62,54.2,87.13,,17.44,96.45,87.92
2018-09-07 00:00:00-04:00,1952.2,62.07,294.02,119.16,47.48,141.92,163.9,348.72,54.86,87.68,,17.9,95.84,88.42
