Period,clothing,department_Stores,electronics_Appli,food_Serv_Drink,food_Beverage,furniture_HomeFurnis,health_Personal_Care
18-Jan,15780.0,9120.0,7290.0,54478.0,60393.0,8878.0,27699.0
18-Feb,18424.0,9663.0,6972.0,54702.0,56483.0,8701.0,25667.0
18-Mar,22207.0,11481.0,7581.0,63389.0,63791.0,10185.0,28477.0
18-Apr,20463.0,10567.0,6835.0,60128.0,59571.0,9365.0,27155.0
18-May,23560.0,12014.0,7397.0,63941.0,64527.0,10114.0,28960.0
18-Jun,21294.0,11166.0,7504.0,63529.0,62765.0,9921.0,27655.0
18-Jul,21733.0,10979.0,7378.0,63442.0,63399.0,9916.0,27467.0
18-Aug,23121.0,12083.0,7861.0,64514.0,63628.0,10399.0,28904.0
18-Sep,19782.0,10371.0,7280.0,59965.0,61186.0,9759.0,26846.0
18-Oct,21203.0,10995.0,7335.0,61724.0,62554.0,9966.0,29355.0
18-Nov,25364.0,14562.0,9565.0,59138.0,63656.0,10770.0,28786.0
18-Dec,33950.0,19082.0,11004.0,63088.0,68047.0,11120.0,30794.0
19-Jan,16155.0,8681.0,7162.0,57077.0,62829.0,8818.0,28639.0
19-Feb,17961.0,9108.0,6562.0,57307.0,56898.0,8629.0,26772.0
19-Mar,22059.0,10615.0,7192.0,66690.0,63504.0,10018.0,28786.0
19-Apr,21500.0,10422.0,6489.0,63999.0,62402.0,9579.0,28402.0
19-May,23079.0,11267.0,7112.0,68306.0,66510.0,10296.0,29487.0
19-Jun,21116.0,10605.0,6983.0,66674.0,64479.0,9759.0,27642.0
19-Jul,21742.0,10610.0,7170.0,66613.0,66428.0,10188.0,28142.0
19-Aug,23829.0,11542.0,7519.0,68469.0,66937.0,10616.0,28528.0
19-Sep,19567.0,9732.0,7123.0,63520.0,62420.0,10116.0,27297.0
19-Oct,21400.0,10441.0,7096.0,65759.0,64849.0,10272.0,29551.0
19-Nov,25170.0,13360.0,9242.0,63127.0,66363.0,11037.0,27844.0
19-Dec,35157.0,18276.0,10886.0,66004.0,70028.0,11189.0,31479.0
20-Jan,16873.0,8479.0,7079.0,61567.0,64567.0,9490.0,28987.0
20-Feb,19232.0,9067.0,6687.0,62956.0,61962.0,9452.0,27756.0
20-Mar,10969.0,8158.0,5816.0,47740.0,80990.0,8159.0,30888.0
20-Apr,2744.0,5941.0,3040.0,30017.0,71064.0,3977.0,25724.0
20-May,8787.0,8768.0,3952.0,42321.0,76438.0,7349.0,26251.0
20-Jun,16442.0,9047.0,5608.0,51473.0,71799.0,9993.0,28279.0
20-Jul,17779.0,9384.0,6555.0,54511.0,75085.0,10625.0,29573.0
20-Aug,18968.0,9879.0,6839.0,56358.0,72353.0,11017.0,28918.0
20-Sep,18790.0,9182.0,6459.0,54740.0,69741.0,11071.0,29462.0
20-Oct,20088.0,9733.0,6865.0,57392.0,71957.0,11114.0,30630.0
20-Nov,21287.0,11235.0,8296.0,50911.0,71879.0,11187.0,28575.0
20-Dec,32237.0,14624.0,9484.0,51497.0,77260.0,12129.0,33670.0
21-Jan,15740.0,8327.0,7066.0,52757.0,71726.0,10707.0,29509.0
21-Feb,16592.0,7881.0,6275.0,50475.0,65894.0,10019.0,27775.0
21-Mar,23281.0,10668.0,7651.0,64709.0,72713.0,12263.0,32858.0
