U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
442: Furniture and Home Furnishings Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (10:41 am)",
,
Period,Value
Jan-18,8878
Feb-18,8701
Mar-18,10185
Apr-18,9365
May-18,10114
Jun-18,9921
Jul-18,9916
Aug-18,10399
Sep-18,9759
Oct-18,9966
Nov-18,10770
Dec-18,11120
Jan-19,8818
Feb-19,8629
Mar-19,10018
Apr-19,9579
May-19,10296
Jun-19,9759
Jul-19,10188
Aug-19,10616
Sep-19,10116
Oct-19,10272
Nov-19,11037
Dec-19,11189
Jan-20,9490
Feb-20,9452
Mar-20,8159
Apr-20,3977
May-20,7349
Jun-20,9993
Jul-20,10625
Aug-20,11017
Sep-20,11071
Oct-20,11114
Nov-20,11187
Dec-20,12129
Jan-21,10707
Feb-21,10019
Mar-21,12263
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
