U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
443: Electronics and Appliance Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (11:41 am)",
,
Period,Value
Jan-18,7290
Feb-18,6972
Mar-18,7581
Apr-18,6835
May-18,7397
Jun-18,7504
Jul-18,7378
Aug-18,7861
Sep-18,7280
Oct-18,7335
Nov-18,9565
Dec-18,11004
Jan-19,7162
Feb-19,6562
Mar-19,7192
Apr-19,6489
May-19,7112
Jun-19,6983
Jul-19,7170
Aug-19,7519
Sep-19,7123
Oct-19,7096
Nov-19,9242
Dec-19,10886
Jan-20,7079
Feb-20,6687
Mar-20,5816
Apr-20,3040
May-20,3952
Jun-20,5608
Jul-20,6555
Aug-20,6839
Sep-20,6459
Oct-20,6865
Nov-20,8296
Dec-20,9484
Jan-21,7066
Feb-21,6275
Mar-21,7651
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
