U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
445: Food and Beverage Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (3:24 am)",
,
Period,Value
Jan-18,60393
Feb-18,56483
Mar-18,63791
Apr-18,59571
May-18,64527
Jun-18,62765
Jul-18,63399
Aug-18,63628
Sep-18,61186
Oct-18,62554
Nov-18,63656
Dec-18,68047
Jan-19,62829
Feb-19,56898
Mar-19,63504
Apr-19,62402
May-19,66510
Jun-19,64479
Jul-19,66428
Aug-19,66937
Sep-19,62420
Oct-19,64849
Nov-19,66363
Dec-19,70028
Jan-20,64567
Feb-20,61962
Mar-20,80990
Apr-20,71064
May-20,76438
Jun-20,71799
Jul-20,75085
Aug-20,72353
Sep-20,69741
Oct-20,71957
Nov-20,71879
Dec-20,77260
Jan-21,71726
Feb-21,65894
Mar-21,72713
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
