U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
446: Health and Personal Care Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (3:29 am)",
,
Period,Value
Jan-18,27699
Feb-18,25667
Mar-18,28477
Apr-18,27155
May-18,28960
Jun-18,27655
Jul-18,27467
Aug-18,28904
Sep-18,26846
Oct-18,29355
Nov-18,28786
Dec-18,30794
Jan-19,28639
Feb-19,26772
Mar-19,28786
Apr-19,28402
May-19,29487
Jun-19,27642
Jul-19,28142
Aug-19,28528
Sep-19,27297
Oct-19,29551
Nov-19,27844
Dec-19,31479
Jan-20,28987
Feb-20,27756
Mar-20,30888
Apr-20,25724
May-20,26251
Jun-20,28279
Jul-20,29573
Aug-20,28918
Sep-20,29462
Oct-20,30630
Nov-20,28575
Dec-20,33670
Jan-21,29509
Feb-21,27775
Mar-21,32858
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
