U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
448: Clothing and Clothing Access. Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (3:26 am)",
,
Period,Value
Jan-18,15780
Feb-18,18424
Mar-18,22207
Apr-18,20463
May-18,23560
Jun-18,21294
Jul-18,21733
Aug-18,23121
Sep-18,19782
Oct-18,21203
Nov-18,25364
Dec-18,33950
Jan-19,16155
Feb-19,17961
Mar-19,22059
Apr-19,21500
May-19,23079
Jun-19,21116
Jul-19,21742
Aug-19,23829
Sep-19,19567
Oct-19,21400
Nov-19,25170
Dec-19,35157
Jan-20,16873
Feb-20,19232
Mar-20,10969
Apr-20,2744
May-20,8787
Jun-20,16442
Jul-20,17779
Aug-20,18968
Sep-20,18790
Oct-20,20088
Nov-20,21287
Dec-20,32237
Jan-21,15740
Feb-21,16592
Mar-21,23281
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
