U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
4521: Department Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (3:28 am)",
,
Period,Value
Jan-18,9120
Feb-18,9663
Mar-18,11481
Apr-18,10567
May-18,12014
Jun-18,11166
Jul-18,10979
Aug-18,12083
Sep-18,10371
Oct-18,10995
Nov-18,14562
Dec-18,19082
Jan-19,8681
Feb-19,9108
Mar-19,10615
Apr-19,10422
May-19,11267
Jun-19,10605
Jul-19,10610
Aug-19,11542
Sep-19,9732
Oct-19,10441
Nov-19,13360
Dec-19,18276
Jan-20,8479
Feb-20,9067
Mar-20,8158
Apr-20,5941
May-20,8768
Jun-20,9047
Jul-20,9384
Aug-20,9879
Sep-20,9182
Oct-20,9733
Nov-20,11235
Dec-20,14624
Jan-21,8327
Feb-21,7881
Mar-21,10668
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
