U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
722: Food Services and Drinking Places: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2018 to 2021,
"Data Extracted on: May 1, 2021 (3:26 am)",
,
Period,Value
Jan-18,54478
Feb-18,54702
Mar-18,63389
Apr-18,60128
May-18,63941
Jun-18,63529
Jul-18,63442
Aug-18,64514
Sep-18,59965
Oct-18,61724
Nov-18,59138
Dec-18,63088
Jan-19,57077
Feb-19,57307
Mar-19,66690
Apr-19,63999
May-19,68306
Jun-19,66674
Jul-19,66613
Aug-19,68469
Sep-19,63520
Oct-19,65759
Nov-19,63127
Dec-19,66004
Jan-20,61567
Feb-20,62956
Mar-20,47740
Apr-20,30017
May-20,42321
Jun-20,51473
Jul-20,54511
Aug-20,56358
Sep-20,54740
Oct-20,57392
Nov-20,50911
Dec-20,51497
Jan-21,52757
Feb-21,50475
Mar-21,64709
Apr-21,NA
May-21,NA
Jun-21,NA
Jul-21,NA
Aug-21,NA
Sep-21,NA
Oct-21,NA
Nov-21,NA
Dec-21,NA
