Period,Value
18-Jan,15780
18-Feb,18424
18-Mar,22207
18-Apr,20463
18-May,23560
18-Jun,21294
18-Jul,21733
18-Aug,23121
18-Sep,19782
18-Oct,21203
18-Nov,25364
18-Dec,33950
19-Jan,16155
19-Feb,17961
19-Mar,22059
19-Apr,21500
19-May,23079
19-Jun,21116
19-Jul,21742
19-Aug,23829
19-Sep,19567
19-Oct,21400
19-Nov,25170
19-Dec,35157
20-Jan,16873
20-Feb,19232
20-Mar,10969
20-Apr,2744
20-May,8787
20-Jun,16442
20-Jul,17779
20-Aug,18968
20-Sep,18790
20-Oct,20088
20-Nov,21287
20-Dec,32237
21-Jan,15740
21-Feb,16592
21-Mar,23281
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
