Period,Value
18-Jan,9120
18-Feb,9663
18-Mar,11481
18-Apr,10567
18-May,12014
18-Jun,11166
18-Jul,10979
18-Aug,12083
18-Sep,10371
18-Oct,10995
18-Nov,14562
18-Dec,19082
19-Jan,8681
19-Feb,9108
19-Mar,10615
19-Apr,10422
19-May,11267
19-Jun,10605
19-Jul,10610
19-Aug,11542
19-Sep,9732
19-Oct,10441
19-Nov,13360
19-Dec,18276
20-Jan,8479
20-Feb,9067
20-Mar,8158
20-Apr,5941
20-May,8768
20-Jun,9047
20-Jul,9384
20-Aug,9879
20-Sep,9182
20-Oct,9733
20-Nov,11235
20-Dec,14624
21-Jan,8327
21-Feb,7881
21-Mar,10668
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
