Period,Value
18-Jan,7290
18-Feb,6972
18-Mar,7581
18-Apr,6835
18-May,7397
18-Jun,7504
18-Jul,7378
18-Aug,7861
18-Sep,7280
18-Oct,7335
18-Nov,9565
18-Dec,11004
19-Jan,7162
19-Feb,6562
19-Mar,7192
19-Apr,6489
19-May,7112
19-Jun,6983
19-Jul,7170
19-Aug,7519
19-Sep,7123
19-Oct,7096
19-Nov,9242
19-Dec,10886
20-Jan,7079
20-Feb,6687
20-Mar,5816
20-Apr,3040
20-May,3952
20-Jun,5608
20-Jul,6555
20-Aug,6839
20-Sep,6459
20-Oct,6865
20-Nov,8296
20-Dec,9484
21-Jan,7066
21-Feb,6275
21-Mar,7651
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
