Period,Value
18-Jan,54478
18-Feb,54702
18-Mar,63389
18-Apr,60128
18-May,63941
18-Jun,63529
18-Jul,63442
18-Aug,64514
18-Sep,59965
18-Oct,61724
18-Nov,59138
18-Dec,63088
19-Jan,57077
19-Feb,57307
19-Mar,66690
19-Apr,63999
19-May,68306
19-Jun,66674
19-Jul,66613
19-Aug,68469
19-Sep,63520
19-Oct,65759
19-Nov,63127
19-Dec,66004
20-Jan,61567
20-Feb,62956
20-Mar,47740
20-Apr,30017
20-May,42321
20-Jun,51473
20-Jul,54511
20-Aug,56358
20-Sep,54740
20-Oct,57392
20-Nov,50911
20-Dec,51497
21-Jan,52757
21-Feb,50475
21-Mar,64709
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
