Period,Value
18-Jan,60393
18-Feb,56483
18-Mar,63791
18-Apr,59571
18-May,64527
18-Jun,62765
18-Jul,63399
18-Aug,63628
18-Sep,61186
18-Oct,62554
18-Nov,63656
18-Dec,68047
19-Jan,62829
19-Feb,56898
19-Mar,63504
19-Apr,62402
19-May,66510
19-Jun,64479
19-Jul,66428
19-Aug,66937
19-Sep,62420
19-Oct,64849
19-Nov,66363
19-Dec,70028
20-Jan,64567
20-Feb,61962
20-Mar,80990
20-Apr,71064
20-May,76438
20-Jun,71799
20-Jul,75085
20-Aug,72353
20-Sep,69741
20-Oct,71957
20-Nov,71879
20-Dec,77260
21-Jan,71726
21-Feb,65894
21-Mar,72713
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
