Period,Value
18-Jan,8878
18-Feb,8701
18-Mar,10185
18-Apr,9365
18-May,10114
18-Jun,9921
18-Jul,9916
18-Aug,10399
18-Sep,9759
18-Oct,9966
18-Nov,10770
18-Dec,11120
19-Jan,8818
19-Feb,8629
19-Mar,10018
19-Apr,9579
19-May,10296
19-Jun,9759
19-Jul,10188
19-Aug,10616
19-Sep,10116
19-Oct,10272
19-Nov,11037
19-Dec,11189
20-Jan,9490
20-Feb,9452
20-Mar,8159
20-Apr,3977
20-May,7349
20-Jun,9993
20-Jul,10625
20-Aug,11017
20-Sep,11071
20-Oct,11114
20-Nov,11187
20-Dec,12129
21-Jan,10707
21-Feb,10019
21-Mar,12263
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
