Period,Value
18-Jan,27699
18-Feb,25667
18-Mar,28477
18-Apr,27155
18-May,28960
18-Jun,27655
18-Jul,27467
18-Aug,28904
18-Sep,26846
18-Oct,29355
18-Nov,28786
18-Dec,30794
19-Jan,28639
19-Feb,26772
19-Mar,28786
19-Apr,28402
19-May,29487
19-Jun,27642
19-Jul,28142
19-Aug,28528
19-Sep,27297
19-Oct,29551
19-Nov,27844
19-Dec,31479
20-Jan,28987
20-Feb,27756
20-Mar,30888
20-Apr,25724
20-May,26251
20-Jun,28279
20-Jul,29573
20-Aug,28918
20-Sep,29462
20-Oct,30630
20-Nov,28575
20-Dec,33670
21-Jan,29509
21-Feb,27775
21-Mar,32858
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
