Period,Value
18-Jan,53006
18-Feb,48632
18-Mar,54589
18-Apr,52528
18-May,55618
18-Jun,51733
18-Jul,53542
18-Aug,55160
18-Sep,51314
18-Oct,57620
18-Nov,69356
18-Dec,73085
19-Jan,58403
19-Feb,54156
19-Mar,58091
19-Apr,59140
19-May,63232
19-Jun,58740
19-Jul,62532
19-Aug,62064
19-Sep,58886
19-Oct,65195
19-Nov,71509
19-Dec,89716
20-Jan,62245
20-Feb,58864
20-Mar,66414
20-Apr,73022
20-May,78134
20-Jun,76015
20-Jul,79072
20-Aug,77168
20-Sep,75540
20-Oct,81386
20-Nov,91542
20-Dec,105157
21-Jan,78677
21-Feb,73818
21-Mar,87362
21-Apr,NA
21-May,NA
21-Jun,NA
21-Jul,NA
21-Aug,NA
21-Sep,NA
21-Oct,NA
21-Nov,NA
21-Dec,NA
